Custid,Newsletter,shareMedia
1001,.,0
1002,1,1
1003,0,1
1004,NA,NA
1005,NA,0
1006,1,1
1007,0,.
1008,.,NA
1009,NA,1
1010,.,.
1011,.,0
1012,1,NA
1013,1,0
1014,0,1
1015,1,NA
1016,.,0
1017,1,NA
1018,NA,1
1019,1,0
1020,0,NA
1021,0,1
1022,NA,1
1023,1,1
1024,NA,NA
1025,NA,.
1026,0,.
1027,1,.
1028,1,.
1029,0,.
1030,.,.
1031,0,NA
1032,NA,1
1033,NA,0
1034,NA,.
1035,0,1
1036,0,1
1037,1,0
1038,0,NA
1039,0,0
1040,1,.
1041,0,1
1042,.,.
1043,1,NA
1044,NA,.
1045,NA,1
1046,.,0
1047,.,NA
1048,1,1
1049,1,.
1050,0,1
1051,NA,.
1052,NA,0
1053,.,NA
1054,NA,1
1055,0,.
1056,0,.
1057,0,0
1058,NA,1
1059,.,NA
1060,NA,NA
1061,.,.
1062,1,0
1063,.,NA
1064,1,1
1065,1,.
1066,0,NA
1067,.,0
1068,0,NA
1069,1,1
1070,1,1
1071,0,0
1072,1,NA
1073,1,0
1074,NA,.
1075,NA,.
1076,NA,1
1077,.,1
1078,NA,.
1079,.,0
1080,0,1
1081,.,.
1082,1,NA
1083,1,0
1084,NA,1
1085,0,1
1086,.,.
1087,.,0
1088,.,0
1089,1,0
1090,NA,.
1091,1,.
1092,1,.
1093,.,1
1094,0,1
1095,NA,1
1096,NA,1
1097,NA,NA
1098,1,0
1099,NA,1
1100,NA,0
1101,1,.
1102,.,.
1103,1,1
1104,0,.
1105,1,.
1106,.,.
1107,0,.
1108,NA,1
1109,1,1
1110,NA,0
1111,1,.
1112,0,0
1113,0,1
1114,NA,1
1115,.,0
1116,0,1
1117,0,NA
1118,1,NA
1119,.,0
1120,0,NA
1121,.,NA
1122,1,.
1123,0,NA
1124,.,NA
1125,.,.
1126,1,0
1127,.,.
1128,.,0
1129,NA,NA
1130,1,.
1131,NA,1
1132,0,NA
1133,.,NA
1134,.,1
1135,.,NA
1136,0,0
1137,NA,0
1138,1,NA
1139,.,1
1140,NA,0
1141,0,1
1142,1,0
1143,.,.
1144,.,.
1145,1,1
1146,NA,0
1147,.,1
1148,.,1
1149,0,1
1150,NA,1
1151,1,NA
1152,1,1
1153,NA,1
1154,1,0
1155,1,.
1156,NA,1
1157,1,0
1158,1,1
1159,.,NA
1160,NA,NA
1161,0,NA
1162,1,NA
1163,.,1
1164,NA,NA
1165,NA,0
1166,0,.
1167,.,0
1168,NA,0
1169,NA,0
1170,.,1
1171,1,.
1172,.,0
1173,NA,0
1174,0,.
1175,.,.
1176,0,1
1177,NA,NA
1178,.,0
1179,.,0
1180,NA,NA
1181,0,1
1182,NA,.
1183,1,.
1184,0,0
1185,.,NA
1186,.,1
1187,1,1
1188,0,NA
1189,0,.
1190,.,0
1191,.,1
1192,0,.
1193,1,NA
1194,.,NA
1195,.,NA
1196,.,0
1197,0,1
1198,NA,1
1199,0,NA
1200,0,NA
1201,NA,1
1202,NA,NA
1203,.,0
1204,1,NA
1205,0,1
1206,NA,0
1207,0,0
1208,NA,NA
1209,NA,0
1210,NA,1
1211,NA,0
1212,NA,1
1213,0,.
